418,2347,Summer,1920,"Gymnastics Men's Team All-Around, Free System",Gold
419,2349,Summer,1948,"Athletics Men's 10,000 metres",Bronze
420,2355,Summer,1968,Rowing Men's Coxless Fours,Bronze
421,2359,Summer,2008,"Wrestling Men's Lightweight, Greco-Roman",Gold
422,2367,Summer,1924,Rowing Men's Coxless Fours,Bronze
423,2367,Summer,1924,Rowing Men's Coxed Fours,Gold
424,2378,Winter,1980,"Speed Skating Women's 1,000 metres",Bronze
425,2379,Winter,2002,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
426,2381,Summer,1976,Sailing Mixed Two Person Keelboat,Gold
427,2386,Winter,1952,Figure Skating Women's Singles,Silver
428,2386,Winter,1956,Figure Skating Women's Singles,Gold
429,2387,Summer,1936,Athletics Men's High Jump,Silver
430,2389,Summer,1960,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
431,2419,Summer,1996,Football Men's Football,Bronze
432,2420,Summer,1976,Boxing Men's Light-Welterweight,Silver
433,2420,Summer,1980,Boxing Men's Welterweight,Gold
